??????????????????????????,,,,,,,,,,,,,
,,,,,,,,,,,,,??:?;?;?;?;‰
??58?,1969,361,6881,97226,2541856,14334862,7554131,6780731,50.1445748357004,74.4360481977338,24.3441316469633,5.63952560648597,111.41
??59?,1970,361,7093,102338,2620105,14675964,7732867,6943097,23.795276159617,23.6606963792394,23.9452059077406,5.60128849798004,111.37
??60?,1971,361,7135,103600,2702792,14994823,7895140,7099683,21.726613665719,20.9848430084211,22.55275995712,5.54790120734411,111.2
??61?,1972,371,7206,105014,2794149,15367774,8078038,7289736,24.8719841507966,23.1658969948601,26.7692233582823,5.4999837159722,110.81
??62?,1973,371,7311,107442,2878453,15642467,8215703,7426764,17.8746121591845,17.0418856658015,18.7973885474042,5.43433121888737,110.62
??63?,1974,371,7480,110441,2971248,15927167,8354012,7573155,18.200453930956,16.8347127446063,19.7112766744709,5.36043002805555,110.31
??64?,1975,371,7542,112159,3078906,16223089,8501391,7721698,18.5797009600012,17.6417031720807,19.614414335901,5.26910824818945,110.1
??65?,1976,371,7549,113192,3194792,16579737,8678165,7901572,21.9839760479647,20.793538375073,23.2946173238062,5.18961390913712,109.83
??66?,1977,371,7575,114548,3319158,16882053,8829635,8052418,18.2340648708722,17.4541507334788,19.0906315857148,5.08624566832914,109.65
??67?,1978,371,7313,114219,3449116,17202491,8991263,8211228,18.9809853102582,18.3051734301588,19.7220263528297,4.98750723373757,109.5
??68?,1979,371,7357,116695,3604443,17543067,9160239,8382828,19.7980629665785,18.7933552827895,20.8982140064799,4.86706739432417,109.27
??69?,1980,371,7379,119117,3755086,17866008,9320105,8545903,18.4084687130249,17.4521647306364,19.453458904322,4.75781593284415,109.06
??70?,1981,371,7270,121406,3906015,18193955,9479508,8714447,18.3559192406048,17.1031334947407,19.7221990467245,4.65793270123131,108.78
??71?,1982,368,7318,125678,4042529,18515754,9636285,8879469,17.6871383929443,16.5385165559225,18.9366003373479,4.58024024070081,108.52
??72?,1983,368,7324,126015,4154944,18790538,9769572,9020966,14.8405514568837,13.831782683887,15.9352997347026,4.52245276951988,108.3
??73?,1984,368,7339,128761,4257171,19069194,9904853,9164341,14.8295913613543,13.8471777473977,15.8935306928327,4.47931126092891,108.08
??74?,1985,368,7361,130415,4371200,19313825,10023344,9290481,12.8285967409005,11.9629236294572,13.7642193803133,4.41842629026354,107.89
??75?,1986,368,7411,131829,4499787,19509082,10114710,9394372,10.1097012114379,9.11532119420425,11.1825211202735,4.33555677190943,107.67
??76?,1987,368,7424,133507,4655214,19725010,10217434,9507576,11.0680758838371,10.1559016521482,12.0501934562523,4.23718651817081,107.47
??77?,1988,368,7430,135183,4818056,19954397,10328081,9626316,11.6292463223086,10.8292355986836,12.4889877293645,4.14158677275648,107.29
??78?,1989,368,7449,136147,4964338,20156587,10424102,9732485,10.1326038566838,9.29708045473307,11.0290374843294,4.06027691909777,107.11
??79?,1990,369,7402,130843,5103536,20401305,10540635,9860670,12.1408450746151,11.1791883847645,13.1708397187358,3.99748429324296,106.9
??80?,1991,369,7412,132243,5227185,20605831,10640276,9965555,10.0251429994307,9.45303579907662,10.6367011572236,3.94205121877263,106.77
