按性別_按經常居住地區分_及按鄉鎮市區別分_By_Sex_By_Usually_Living_County_City_By_Township_City_District_人數,總計_Grand_total_人數,同現住鄉鎮市區_Same_township_city_district_人數,同現住縣市不同鄉鎮市區_Same_county_city_人數,不同縣市或國外地區_Other_county_city_or_overseas_人數
苗栗縣頭屋鄉,1177,505,632,40
Touwu Township,,,,
苗栗縣三義鄉,1607,1223,231,153
Sanyi Township,,,,
苗栗縣西湖鄉,495,224,248,23
Xihu Township,,,,
苗栗縣造橋鄉,1838,1280,466,92
Zaoqiao Township,,,,
苗栗縣三灣鄉,511,255,202,54
Sanwan Township,,,,
苗栗縣獅潭鄉,225,130,92,3
Shitan Township,,,,
苗栗縣泰安鄉,329,203,78,48
Tai'an Township,,,,
按性別分_By_Sex,,,,
彰化縣_男_Male,87411,56922,24065,6424
彰化縣_女_Female,75205,51020,18181,6004
按鄉鎮市區別分_By_Township_City_District,,,,
彰化縣彰化市,35294,29233,1921,4140
Changhua City,,,,
彰化縣鹿港鎮,11350,6586,4117,647
Lugang Township,,,,
彰化縣和美鎮,12873,7720,4204,949
Hemei Township,,,,
彰化縣線西鄉,2163,1227,817,119
Xianxi Township,,,,
彰化縣伸港鄉,4919,2834,1704,381
Shengang Township,,,,
彰化縣福興鄉,5406,2470,2728,208
Fuxing Township,,,,
彰化縣秀水鄉,4911,3104,1581,226
Xiushui Township,,,,
彰化縣花壇鄉,5755,2598,2796,361
Huatan Township,,,,
彰化縣芬園鄉,2740,1186,246,1308
Fenyuan Township,,,,
彰化縣員林市,16025,12484,2447,1094
Yuanlin City,,,,
彰化縣溪湖鎮,5909,4382,1185,342
Xihu Township,,,,
彰化縣田中鎮,4278,3301,745,232
Tianzhong Township,,,,
彰化縣大村鄉,8625,5740,2500,385
Dacun Township,,,,
彰化縣埔鹽鄉,3378,1956,1330,92
Puyan Township,,,,
彰化縣埔心鄉,4305,1925,2168,212
Puxin Township,,,,
彰化縣永靖鄉,3412,1986,1307,119
Yongjing Township,,,,
彰化縣社頭鄉,4846,2393,2197,256
Shetou Township,,,,
彰化縣二水鄉,1157,591,462,104
Ershui Township,,,,
彰化縣北斗鎮,4511,3280,933,298
Beidou Township,,,,
彰化縣二林鎮,5085,3897,1023,165
Erlin Township,,,,
彰化縣田尾鄉,3037,1503,1305,229
Tianwei Township,,,,
彰化縣埤頭鄉,3732,2458,1104,170
Pitou Township,,,,
彰化縣芳苑鄉,2625,1595,896,134
Fangyuan Township,,,,
彰化縣大城鄉,1123,641,435,47
Dacheng Township,,,,
彰化縣竹塘鄉,1292,833,400,59
Zhutang Township,,,,
彰化縣溪州鄉,3865,2019,1695,151
Xizhou Township,,,,
按性別分_By_Sex,,,,
南投縣_男_Male,28028,21612,3406,3010
南投縣_女_Female,26555,20050,2809,3696
按鄉鎮市區別分_By_Township_City_District,,,,
南投縣南投市,12830,9794,1017,2019
Nantou City,,,,
南投縣埔里鎮,11280,10142,280,858
Puli Township,,,,
南投縣草屯鎮,12504,9359,1132,2013
Caotun Township,,,,
南投縣竹山鎮,4844,4179,291,374
Zhushan Township,,,,
南投縣集集鎮,946,455,344,147
Jiji Township,,,,
南投縣名間鄉,3476,1807,1146,523
Mingjian Township,,,,
南投縣鹿谷鄉,997,573,294,130
Lugu Township,,,,
南投縣中寮鄉,1031,519,411,101
Zhongliao Township,,,,
南投縣魚池鄉,1141,769,299,73
Yuchi Township,,,,
南投縣國姓鄉,1338,931,323,84
Guoxing Township,,,,
南投縣水里鄉,1219,961,145,113
Shuili Township,,,,
南投縣信義鄉,1365,1020,261,84
Xinyi Township,,,,
南投縣仁愛鄉,1612,1153,272,187
Ren'ai Township,,,,
按性別分_By_Sex,,,,
雲林縣_男_Male,47613,34968,9440,3205
雲林縣_女_Female,38901,28963,6601,3337
按鄉鎮市區別分_By_Township_City_District,,,,
雲林縣斗六市,18797,16570,1234,993
Douliu City,,,,
雲林縣斗南鎮,5469,3345,1276,848
Dounan Township,,,,
雲林縣虎尾鎮,17606,15334,1643,629
Huwei Township,,,,
雲林縣西螺鎮,4999,3489,1302,208
Xiluo Township,,,,
雲林縣土庫鎮,4787,3585,933,269
Tuku Township,,,,
雲林縣北港鎮,4347,3525,167,655
Beigang Township,,,,
雲林縣古坑鄉,3253,1573,1298,382
Gukeng Township,,,,
雲林縣大埤鄉,1977,837,805,335
Dapi Township,,,,
雲林縣莿桐鄉,2941,1428,1313,200
Citong Township,,,,
雲林縣林內鄉,1845,1328,396,121
Linnei Township,,,,
雲林縣二崙鄉,2468,1338,965,165
Erlun Township,,,,
雲林縣崙背鄉,2139,1333,653,153
Lunbei Township,,,,
雲林縣麥寮鄉,4775,3556,898,321
Mailiao Township,,,,
雲林縣東勢鄉,1145,595,501,49
Dongshi Township,,,,
雲林縣褒忠鄉,1040,544,411,85
Baozhong Township,,,,
雲林縣臺西鄉,1614,1011,476,127
Taixi Township,,,,
雲林縣元長鄉,2046,1072,668,306
Yuanchang Township,,,,
雲林縣四湖鄉,1618,1364,110,144
Sihu Township,,,,
雲林縣口湖鄉,1848,1087,480,281
Kouhu Township,,,,
雲林縣水林鄉,1800,1017,512,271
Shuilin Township,,,,
按性別分_By_Sex,,,,
臺南市_男_Male,149792,100927,42440,6425
臺南市_女_Female,144911,99367,38983,6561
按鄉鎮市區別分_By_Township_City_District,,,,
臺南市新營區,9833,7869,1199,765
Xinying District,,,,
臺南市鹽水區,2493,1411,919,163
Yanshui District,,,,
臺南市白河區,2149,1377,430,342
Baihe District,,,,
臺南市柳營區,3021,2052,895,74
Liuying District,,,,
臺南市後壁區,2143,912,1037,194
Houbi District,,,,
臺南市東山區,1505,743,638,124
Dongshan District,,,,
臺南市麻豆區,4483,3514,812,157
Madou District,,,,
臺南市下營區,2137,1043,1019,75
Xiaying District,,,,
臺南市六甲區,2086,1074,916,96
Liujia District,,,,
臺南市官田區,3737,2326,1277,134
Guantian District,,,,
臺南市大內區,806,354,413,39
Danei District,,,,
臺南市佳里區,7029,4657,1978,394
Jiali District,,,,
臺南市學甲區,2473,1329,1056,88
Xuejia District,,,,
臺南市西港區,3211,1772,1307,132
Xigang District,,,,
臺南市七股區,1736,853,833,50
Qigu District,,,,
臺南市將軍區,1201,530,647,24
Jiangjun District,,,,
臺南市北門區,802,365,397,40
Beimen District,,,,
臺南市新化區,5644,3018,2281,345
Xinhua District,,,,
